Glucose Data,Generated on,21-11-2024 12:39 UTC,Generated by,Carlisha  Steele 
Device,Serial Number,Device Timestamp,Record Type,Historic Glucose mmol/L,Scan Glucose mmol/L,Non-numeric Rapid-Acting Insulin,Rapid-Acting Insulin (units),Non-numeric Food,Carbohydrates (grams),Carbohydrates (servings),Non-numeric Long-Acting Insulin,Long-Acting Insulin (units),Notes,Strip Glucose mmol/L,Ketone mmol/L,Meal Insulin (units),Correction Insulin (units),User Change Insulin (units)
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 00:32,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 00:47,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 01:02,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 01:18,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 01:33,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 01:48,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 02:03,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 02:18,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 02:33,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 02:48,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 03:03,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,31-10-2024 03:18,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,01-11-2024 23:23,0,10.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,01-11-2024 23:38,0,8.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,01-11-2024 23:54,0,9.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 00:09,0,9.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 00:24,0,8.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 00:39,0,7.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 00:54,0,7.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 01:09,0,7.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 01:24,0,7.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 01:39,0,8.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 01:55,0,8.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 02:10,0,8.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 02:25,0,8.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 02:40,0,8.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 02:55,0,10.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 03:10,0,11.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 03:26,0,12.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 03:41,0,12.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 03:56,0,12.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 04:11,0,13.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 04:26,0,13.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 04:41,0,13.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 04:56,0,12.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 05:11,0,11.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 05:26,0,11.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 05:43,0,11.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 05:58,0,10.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 06:13,0,10.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 06:28,0,10.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 06:43,0,10.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 06:58,0,10.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 07:13,0,9.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 07:28,0,10.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 07:43,0,10.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 07:58,0,9.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 08:13,0,10.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 08:28,0,11.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 08:43,0,12.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 08:58,0,12.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 09:13,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 09:28,0,12.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 09:43,0,12.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 09:58,0,11.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 10:13,0,11.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 10:28,0,12.2,,,,,,,,,,,,,,
